ID,Date Added,Responsible,Category,Est Time,Task Name EN,Task Name FR,Description EN,Description FR,YouTube Link,Worksheet,Date assigned,Date Completed,IsDone,Points
12,2026-06-03,Oliver,Brain Activation,10,Cross-Lateral Brain Wake-Up,,Complete all cross-body movements for 2 minutes.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Cross-Lateral%20Brain%20Wake-Up%20Complete%20all%20cross-body%20movements%20for%202%20minutes.,https://idunnoguesswho.github.io/snowflake/worksheets/12.html,2026-06-03,2026-06-03,Yes,2
13,2026-06-03,Logan,Brain Activation,10,Opposite Day Challenge,,Play the opposite game for 5 minutes and complete 20 commands correctly.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Opposite%20Day%20Challenge%20Play%20the%20opposite%20game%20for%205%20minutes%20and%20complete%2020%20commands%20correctly.,https://idunnoguesswho.github.io/snowflake/worksheets/13.html,2026-06-04,,,2
14,2026-06-03,Logan,Brain Activation,10,Memory Tray Detective,,"Study 10 objects, then recall as many as possible from memory.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Memory%20Tray%20Detective%20Study%2010%20objects%2C%20then%20recall%20as%20many%20as%20possible%20from%20memory.,https://idunnoguesswho.github.io/snowflake/worksheets/14.html,,,,2
15,2026-06-03,Logan,Brain Activation,10,Number-Body Pattern,,Complete 10 number-action sequences without mistakes.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Number-Body%20Pattern%20Complete%2010%20number-action%20sequences%20without%20mistakes.,https://idunnoguesswho.github.io/snowflake/worksheets/15.html,,,,2
16,2026-06-03,Logan,Brain Activation,10,Mystery Category Race,,Name items in a category without repeating or pausing longer than 3 seconds.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Mystery%20Category%20Race%20Name%20items%20in%20a%20category%20without%20repeating%20or%20pausing%20longer%20than%203%20seconds.,https://idunnoguesswho.github.io/snowflake/worksheets/16.html,,,,2
18,2026-06-03,Mom,NCSO Study,15,NCSO 01 - Exam map and weak spots,,Study point: Review the NCSO exam structure and list 3 weak areas to prioritize. Note that national/provincial exams are closed-book and typically require 75% to pass.,,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2001%20-%20Exam%20map%20and%20weak%20spots%20Study%20point%3A%20Review%20the%20NCSO%20exam%20structure%20and%20list%203%20weak%20areas%20to%20prioritize.,https://idunnoguesswho.github.io/snowflake/worksheets/18.html,2026-06-05,,,3
19,2026-06-03,Mom,NCSO Study,15,NCSO 02 - Health and safety program basics,,"Study point: Name the core pieces of a construction health and safety program: policy, roles, hazard control, training, inspections, investigations, emergency response, records, and review.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2002%20-%20Health%20and%20safety%20program%20basics%20Study%20point%3A%20Name%20the%20core%20pieces%20of%20a%20construction%20health%20and%20safety%20program%3A%20p,https://idunnoguesswho.github.io/snowflake/worksheets/19.html,,,,3
20,2026-06-03,Mom,NCSO Study,15,NCSO 03 - Internal responsibility system,,"Study point: Explain how employers, supervisors, workers, contractors, and safety personnel each share responsibility for site safety. Make one jobsite example for each role.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2003%20-%20Internal%20responsibility%20system%20Study%20point%3A%20Explain%20how%20employers%2C%20supervisors%2C%20workers%2C%20contractors%2C%20and%20safet,https://idunnoguesswho.github.io/snowflake/worksheets/20.html,,,,3
21,2026-06-03,Mom,NCSO Study,15,NCSO 04 - Legislation and due diligence,,Study point: Review employer/supervisor/worker legal duties and the idea of due diligence. Write the proof you would need to show reasonable care was taken.,,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2004%20-%20Legislation%20and%20due%20diligence%20Study%20point%3A%20Review%20employer%2Fsupervisor%2Fworker%20legal%20duties%20and%20the%20idea%20of%20due%20,https://idunnoguesswho.github.io/snowflake/worksheets/21.html,,,,3
22,2026-06-03,Mom,NCSO Study,15,NCSO 05 - Worker rights and responsibilities,,"Study point: Memorize the rights to know, participate, and refuse unsafe work. Add what the worker must do when reporting a hazard or refusing work.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2005%20-%20Worker%20rights%20and%20responsibilities%20Study%20point%3A%20Memorize%20the%20rights%20to%20know%2C%20participate%2C%20and%20refuse%20unsafe%20work.%20A,https://idunnoguesswho.github.io/snowflake/worksheets/22.html,,,,3
23,2026-06-03,Mom,NCSO Study,15,NCSO 06 - Hazard identification methods,,"Study point: Compare formal inspections, FLHA/JHA, worker observations, incident trends, and pre-job planning as ways to find hazards before work starts.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2006%20-%20Hazard%20identification%20methods%20Study%20point%3A%20Compare%20formal%20inspections%2C%20FLHA%2FJHA%2C%20worker%20observations%2C%20incident,https://idunnoguesswho.github.io/snowflake/worksheets/23.html,,,,3
24,2026-06-03,Mom,NCSO Study,15,NCSO 07 - Risk assessment ranking,,"Study point: Practice rating a hazard by severity and likelihood. Pick one construction hazard and decide if it is low, medium, high, or critical risk.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2007%20-%20Risk%20assessment%20ranking%20Study%20point%3A%20Practice%20rating%20a%20hazard%20by%20severity%20and%20likelihood.%20Pick%20one%20const,https://idunnoguesswho.github.io/snowflake/worksheets/24.html,,,,3
25,2026-06-03,Mom,NCSO Study,15,NCSO 08 - Hierarchy of controls,,"Study point: Put controls in order: elimination, substitution, engineering, administrative, PPE. Give one example for falls, silica/dust, and moving equipment.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2008%20-%20Hierarchy%20of%20controls%20Study%20point%3A%20Put%20controls%20in%20order%3A%20elimination%2C%20substitution%2C%20engineering%2C%20admi,https://idunnoguesswho.github.io/snowflake/worksheets/25.html,,,,3
26,2026-06-03,Mom,NCSO Study,15,NCSO 09 - Safe work practices and procedures,,Study point: Know the difference between a safe work practice and a safe job procedure. Draft a 4-step procedure for a routine site task.,,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2009%20-%20Safe%20work%20practices%20and%20procedures%20Study%20point%3A%20Know%20the%20difference%20between%20a%20safe%20work%20practice%20and%20a%20safe%20job%20pro,https://idunnoguesswho.github.io/snowflake/worksheets/26.html,,,,3
27,2026-06-03,Mom,NCSO Study,15,NCSO 10 - FLHA/JHA walkthrough,,"Study point: Take one job, break it into steps, identify hazards for each step, and choose controls. Focus on controls that are specific and measurable.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2010%20-%20FLHA%2FJHA%20walkthrough%20Study%20point%3A%20Take%20one%20job%2C%20break%20it%20into%20steps%2C%20identify%20hazards%20for%20each%20step%2C%20,https://idunnoguesswho.github.io/snowflake/worksheets/27.html,,,,3
28,2026-06-03,Mom,NCSO Study,15,NCSO 11 - Site inspections,,"Study point: Review what a good inspection records: location, hazard, risk, corrective action, responsible person, due date, and follow-up evidence.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2011%20-%20Site%20inspections%20Study%20point%3A%20Review%20what%20a%20good%20inspection%20records%3A%20location%2C%20hazard%2C%20risk%2C%20corr,https://idunnoguesswho.github.io/snowflake/worksheets/28.html,,,,3
29,2026-06-03,Mom,NCSO Study,15,NCSO 12 - Incident investigation steps,,"Study point: Memorize the investigation flow: secure scene, care for people, report, gather facts, interview, analyze causes, recommend controls, follow up.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2012%20-%20Incident%20investigation%20steps%20Study%20point%3A%20Memorize%20the%20investigation%20flow%3A%20secure%20scene%2C%20care%20for%20people%2C%20rep,https://idunnoguesswho.github.io/snowflake/worksheets/29.html,,,,3
30,2026-06-03,Mom,NCSO Study,15,NCSO 13 - Root cause vs direct cause,,"Study point: Sort examples into immediate causes, basic/root causes, and system weaknesses. Avoid blaming workers without identifying failed controls.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2013%20-%20Root%20cause%20vs%20direct%20cause%20Study%20point%3A%20Sort%20examples%20into%20immediate%20causes%2C%20basic%2Froot%20causes%2C%20and%20system%20,https://idunnoguesswho.github.io/snowflake/worksheets/30.html,,,,3
31,2026-06-03,Mom,NCSO Study,15,NCSO 14 - Corrective actions,,"Study point: Turn one incident finding into a SMART corrective action. Include owner, due date, verification method, and how recurrence will be prevented.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2014%20-%20Corrective%20actions%20Study%20point%3A%20Turn%20one%20incident%20finding%20into%20a%20SMART%20corrective%20action.%20Include%20o,https://idunnoguesswho.github.io/snowflake/worksheets/31.html,,,,3
32,2026-06-03,Mom,NCSO Study,15,NCSO 15 - WHMIS and SDS,,"Study point: Review WHMIS pictograms, labels, and SDS sections. Pick one product and find hazards, PPE, first aid, storage, and spill response.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2015%20-%20WHMIS%20and%20SDS%20Study%20point%3A%20Review%20WHMIS%20pictograms%2C%20labels%2C%20and%20SDS%20sections.%20Pick%20one%20product,https://idunnoguesswho.github.io/snowflake/worksheets/32.html,,,,3
33,2026-06-03,Mom,NCSO Study,15,NCSO 16 - PPE selection and limits,,"Study point: Match PPE to hazards, then state the limitations. Include hard hats, eye/face, hearing, respiratory, gloves, footwear, and fall protection.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2016%20-%20PPE%20selection%20and%20limits%20Study%20point%3A%20Match%20PPE%20to%20hazards%2C%20then%20state%20the%20limitations.%20Include%20hard%20hats,https://idunnoguesswho.github.io/snowflake/worksheets/33.html,,,,3
34,2026-06-03,Mom,NCSO Study,15,NCSO 17 - Occupational hygiene basics,,"Study point: Review exposure routes, monitoring, OEL/TLV concepts, and controls for noise, silica/dust, fumes, heat/cold stress, and ergonomics.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2017%20-%20Occupational%20hygiene%20basics%20Study%20point%3A%20Review%20exposure%20routes%2C%20monitoring%2C%20OEL%2FTLV%20concepts%2C%20and%20controls%20,https://idunnoguesswho.github.io/snowflake/worksheets/34.html,,,,3
35,2026-06-03,Mom,NCSO Study,15,NCSO 18 - Emergency preparedness and first aid,,"Study point: Identify what an emergency plan must cover: contacts, alarms, evacuation, muster, rescue limits, first aid, drills, and communication.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2018%20-%20Emergency%20preparedness%20and%20first%20aid%20Study%20point%3A%20Identify%20what%20an%20emergency%20plan%20must%20cover%3A%20contacts%2C%20alarms%2C%20evacu,https://idunnoguesswho.github.io/snowflake/worksheets/35.html,,,,3
36,2026-06-03,Mom,NCSO Study,15,NCSO 19 - Training and orientations,,Study point: Outline what belongs in a site orientation and when refresher training is needed. Include competency checks and training records.,,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2019%20-%20Training%20and%20orientations%20Study%20point%3A%20Outline%20what%20belongs%20in%20a%20site%20orientation%20and%20when%20refresher%20train,https://idunnoguesswho.github.io/snowflake/worksheets/36.html,,,,3
37,2026-06-03,Mom,NCSO Study,15,NCSO 20 - Toolbox talks and communication,,"Study point: Prepare a 2-minute toolbox talk on one hazard. Include the hazard, why it matters, controls, worker input, and sign-off documentation.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2020%20-%20Toolbox%20talks%20and%20communication%20Study%20point%3A%20Prepare%20a%202-minute%20toolbox%20talk%20on%20one%20hazard.%20Include%20the%20hazard%2C%20,https://idunnoguesswho.github.io/snowflake/worksheets/37.html,,,,3
38,2026-06-03,Mom,NCSO Study,15,NCSO 21 - Preventive maintenance,,"Study point: Review how maintenance reduces incidents. Compare pre-use inspections, scheduled maintenance, defects/out-of-service tags, and repair records.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2021%20-%20Preventive%20maintenance%20Study%20point%3A%20Review%20how%20maintenance%20reduces%20incidents.%20Compare%20pre-use%20inspectio,https://idunnoguesswho.github.io/snowflake/worksheets/38.html,,,,3
39,2026-06-03,Mom,NCSO Study,15,NCSO 22 - Auditing and COR evidence,,"Study point: Review audit evidence types: documents, interviews, and observations. Connect each evidence type to one health and safety program element.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2022%20-%20Auditing%20and%20COR%20evidence%20Study%20point%3A%20Review%20audit%20evidence%20types%3A%20documents%2C%20interviews%2C%20and%20observation,https://idunnoguesswho.github.io/snowflake/worksheets/39.html,,,,3
40,2026-06-03,Mom,NCSO Study,15,NCSO 23 - Records and safety statistics,,Study point: Review why records matter. Define leading vs lagging indicators and calculate a simple incident rate or inspection completion percentage.,,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2023%20-%20Records%20and%20safety%20statistics%20Study%20point%3A%20Review%20why%20records%20matter.%20Define%20leading%20vs%20lagging%20indicators%20and,https://idunnoguesswho.github.io/snowflake/worksheets/40.html,,,,3
41,2026-06-03,Mom,NCSO Study,15,NCSO 24 - Practice questions and recall,,"Study point: Do 10 practice questions or flashcards. For each miss, write the correct answer, why it is correct, and the topic to revisit.",,https://www.youtube.com/results?search_query=NCSO%20construction%20safety%20NCSO%2024%20-%20Practice%20questions%20and%20recall%20Study%20point%3A%20Do%2010%20practice%20questions%20or%20flashcards.%20For%20each%20miss%2C%20write%20the%20co,https://idunnoguesswho.github.io/snowflake/worksheets/41.html,,,,3
42,2026-06-03,Oliver,Brain Activation,5,Movement & Cross-Body - Cross Crawl,,Touch opposite hand to opposite knee while marching in place for 20 reps. Hum while doing it for an extra brain boost.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Movement%20%26%20Cross-Body%20-%20Cross%20Crawl%20Touch%20opposite%20hand%20to%20opposite%20knee%20while%20marching%20in%20place%20for%2020%20reps.%20Hum%20wh,https://idunnoguesswho.github.io/snowflake/worksheets/42.html,,,,1
43,2026-06-03,Oliver,Brain Activation,5,Movement & Cross-Body - Brain Buttons,,"Press below the collarbone with one hand while the other hand rests on the belly button. Hold 30 seconds, then switch.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Movement%20%26%20Cross-Body%20-%20Brain%20Buttons%20Press%20below%20the%20collarbone%20with%20one%20hand%20while%20the%20other%20hand%20rests%20on%20the%20belly,https://idunnoguesswho.github.io/snowflake/worksheets/43.html,,,,1
44,2026-06-03,Oliver,Brain Activation,5,Movement & Cross-Body - Hook-Ups / Energy Yawn,,"Cross ankles and wrists, clasp hands, pull toward chest, and breathe slowly for 1 minute.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Movement%20%26%20Cross-Body%20-%20Hook-Ups%20%2F%20Energy%20Yawn%20Cross%20ankles%20and%20wrists%2C%20clasp%20hands%2C%20pull%20toward%20chest%2C%20and%20breathe%20slowly%20for%20,https://idunnoguesswho.github.io/snowflake/worksheets/44.html,,,,1
45,2026-06-03,Oliver,Brain Activation,5,Movement & Cross-Body - Figure 8 Eyes,,Trace a sideways figure 8 with your thumb while following only with your eyes. Do 5 reps each direction.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Movement%20%26%20Cross-Body%20-%20Figure%208%20Eyes%20Trace%20a%20sideways%20figure%208%20with%20your%20thumb%20while%20following%20only%20with%20your%20eyes.%20D,https://idunnoguesswho.github.io/snowflake/worksheets/45.html,,,,1
46,2026-06-03,Oliver,Brain Activation,10,Movement & Cross-Body - Lazy 8 Drawing,,"Draw a large sideways 8, starting in the centre and going left first. Trace with dominant hand, non-dominant hand, then both hands.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Movement%20%26%20Cross-Body%20-%20Lazy%208%20Drawing%20Draw%20a%20large%20sideways%208%2C%20starting%20in%20the%20centre%20and%20going%20left%20first.%20Trace%20with,https://idunnoguesswho.github.io/snowflake/worksheets/46.html,,,,2
47,2026-06-03,Oliver,Brain Activation,10,Movement & Cross-Body - Juggling Practice,,"Practice juggling with one ball, then two. Focus on trying, tracking, and coordination rather than perfection.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Movement%20%26%20Cross-Body%20-%20Juggling%20Practice%20Practice%20juggling%20with%20one%20ball%2C%20then%20two.%20Focus%20on%20trying%2C%20tracking%2C%20and%20coordi,https://idunnoguesswho.github.io/snowflake/worksheets/47.html,,,,2
48,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - Box Breathing,,"Breathe in for 4, hold for 4, out for 4, hold for 4. Repeat 4 rounds.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Breathing%20%26%20Calm%20-%20Box%20Breathing%20Breathe%20in%20for%204%2C%20hold%20for%204%2C%20out%20for%204%2C%20hold%20for%204.%20Repeat%204%20rounds.,https://idunnoguesswho.github.io/snowflake/worksheets/48.html,,,,1
49,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - 4-7-8 Breathing,,"Breathe in for 4, hold for 7, and breathe out slowly for 8. Repeat calmly.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Breathing%20%26%20Calm%20-%204-7-8%20Breathing%20Breathe%20in%20for%204%2C%20hold%20for%207%2C%20and%20breathe%20out%20slowly%20for%208.%20Repeat%20calmly.,https://idunnoguesswho.github.io/snowflake/worksheets/49.html,,,,1
50,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - Belly Breathing,,Put one hand on chest and one on belly. Take 5 slow breaths so only the belly hand moves.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Breathing%20%26%20Calm%20-%20Belly%20Breathing%20Put%20one%20hand%20on%20chest%20and%20one%20on%20belly.%20Take%205%20slow%20breaths%20so%20only%20the%20belly%20ha,https://idunnoguesswho.github.io/snowflake/worksheets/50.html,,,,1
51,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - Flower and Candle,,"Pretend to smell a flower with a slow nose inhale, then blow out a candle with a long mouth exhale. Do 5 rounds.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Breathing%20%26%20Calm%20-%20Flower%20and%20Candle%20Pretend%20to%20smell%20a%20flower%20with%20a%20slow%20nose%20inhale%2C%20then%20blow%20out%20a%20candle%20with%20a,https://idunnoguesswho.github.io/snowflake/worksheets/51.html,,,,1
52,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - Star Breathing,,"Trace up and down each finger while breathing in and out, completing one calm hand-tracing cycle.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Breathing%20%26%20Calm%20-%20Star%20Breathing%20Trace%20up%20and%20down%20each%20finger%20while%20breathing%20in%20and%20out%2C%20completing%20one%20calm%20ha,https://idunnoguesswho.github.io/snowflake/worksheets/52.html,,,,1
53,2026-06-03,Oliver,Brain Activation,10,Music & Rhythm - Mood Playlist Challenge,,"Create or choose songs for three playlists: energy, focus, and calm. Pick one to shift the mood today.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Music%20%26%20Rhythm%20-%20Mood%20Playlist%20Challenge%20Create%20or%20choose%20songs%20for%20three%20playlists%3A%20energy%2C%20focus%2C%20and%20calm.%20Pick%20one%20to,https://idunnoguesswho.github.io/snowflake/worksheets/53.html,,,,2
54,2026-06-03,Oliver,Brain Activation,5,Music & Rhythm - Body Percussion,,"Make a rhythm using claps, snaps, knee pats, and stomps. Copy someone else's pattern, then switch.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Music%20%26%20Rhythm%20-%20Body%20Percussion%20Make%20a%20rhythm%20using%20claps%2C%20snaps%2C%20knee%20pats%2C%20and%20stomps.%20Copy%20someone%20else%27s%20pat,https://idunnoguesswho.github.io/snowflake/worksheets/54.html,,,,1
55,2026-06-03,Oliver,Brain Activation,5,Music & Rhythm - Humming Meditation,,"Sit comfortably, inhale, then hum one steady note on the exhale. Repeat 5 times and notice the vibration.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Music%20%26%20Rhythm%20-%20Humming%20Meditation%20Sit%20comfortably%2C%20inhale%2C%20then%20hum%20one%20steady%20note%20on%20the%20exhale.%20Repeat%205%20times%20,https://idunnoguesswho.github.io/snowflake/worksheets/55.html,,,,1
56,2026-06-03,Oliver,Brain Activation,5,Music & Rhythm - Sing What You Feel,,Pick a simple tune and sing a few lines about what you feel right now. Silly or serious both count.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Music%20%26%20Rhythm%20-%20Sing%20What%20You%20Feel%20Pick%20a%20simple%20tune%20and%20sing%20a%20few%20lines%20about%20what%20you%20feel%20right%20now.%20Silly%20or%20,https://idunnoguesswho.github.io/snowflake/worksheets/56.html,,,,1
57,2026-06-03,Oliver,Brain Activation,5,Music & Rhythm - Rhythm Mirroring Game,,One person taps a rhythm while the other mirrors it exactly. Switch roles and gradually add complexity.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Music%20%26%20Rhythm%20-%20Rhythm%20Mirroring%20Game%20One%20person%20taps%20a%20rhythm%20while%20the%20other%20mirrors%20it%20exactly.%20Switch%20roles%20and%20gr,https://idunnoguesswho.github.io/snowflake/worksheets/57.html,,,,1
58,2026-06-03,Oliver,Brain Activation,10,Creative Expression - Emotion Colour Map,,"Choose colours for feelings, then fill a page with colours and marks that show today's emotions.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Creative%20Expression%20-%20Emotion%20Colour%20Map%20Choose%20colours%20for%20feelings%2C%20then%20fill%20a%20page%20with%20colours%20and%20marks%20that%20show%20t,https://idunnoguesswho.github.io/snowflake/worksheets/58.html,,,,2
59,2026-06-03,Oliver,Brain Activation,5,Creative Expression - Morning Pages,,"Write three unedited lines about anything: dreams, worries, funny thoughts, or what is on your mind.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Creative%20Expression%20-%20Morning%20Pages%20Write%20three%20unedited%20lines%20about%20anything%3A%20dreams%2C%20worries%2C%20funny%20thoughts%2C%20or%20w,https://idunnoguesswho.github.io/snowflake/worksheets/59.html,,,,1
60,2026-06-03,Oliver,Brain Activation,10,Creative Expression - Worry Jar Drawings,,"Draw worries on small papers, fold them, and place them in a jar to contain them outside your head.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Creative%20Expression%20-%20Worry%20Jar%20Drawings%20Draw%20worries%20on%20small%20papers%2C%20fold%20them%2C%20and%20place%20them%20in%20a%20jar%20to%20contain%20them,https://idunnoguesswho.github.io/snowflake/worksheets/60.html,,,,2
61,2026-06-03,Oliver,Brain Activation,5,Creative Expression - Gratitude Doodle,,Draw three things you are grateful for today. Simple sketches and stick figures are welcome.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Creative%20Expression%20-%20Gratitude%20Doodle%20Draw%20three%20things%20you%20are%20grateful%20for%20today.%20Simple%20sketches%20and%20stick%20figures%20,https://idunnoguesswho.github.io/snowflake/worksheets/61.html,,,,1
62,2026-06-03,Oliver,Brain Activation,15,Creative Expression - Collage Your Day,,Cut or tear pictures from old magazines or flyers and make a collage that shows how the day felt.,,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Creative%20Expression%20-%20Collage%20Your%20Day%20Cut%20or%20tear%20pictures%20from%20old%20magazines%20or%20flyers%20and%20make%20a%20collage%20that%20shows%20,https://idunnoguesswho.github.io/snowflake/worksheets/62.html,,,,3
63,2026-06-03,Oliver,Brain Activation,10,Logic & Problem Solving - Quick Challenges,,"Try quick brain teasers, patterns, categories, and word challenges from the workbook.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Logic%20%26%20Problem%20Solving%20-%20Quick%20Challenges%20Try%20quick%20brain%20teasers%2C%20patterns%2C%20categories%2C%20and%20word%20challenges%20from%20the%20work,https://idunnoguesswho.github.io/snowflake/worksheets/63.html,,,,2
64,2026-06-03,Oliver,Brain Activation,10,Logic & Problem Solving - Design Challenge,,"Using paper, tape, and 10 toothpicks or straws, build the tallest freestanding tower you can in 10 minutes.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Logic%20%26%20Problem%20Solving%20-%20Design%20Challenge%20Using%20paper%2C%20tape%2C%20and%2010%20toothpicks%20or%20straws%2C%20build%20the%20tallest%20freestanding%20t,https://idunnoguesswho.github.io/snowflake/worksheets/64.html,,,,2
65,2026-06-03,Oliver,Brain Activation,10,Logic & Problem Solving - LEGO / Block Architecture,,"Build something that represents how you feel today, then describe it to someone.",,https://www.youtube.com/results?search_query=brain%20break%20activity%20for%20kids%20Logic%20%26%20Problem%20Solving%20-%20LEGO%20%2F%20Block%20Architecture%20Build%20something%20that%20represents%20how%20you%20feel%20today%2C%20then%20describe%20it%20to%20someone.,https://idunnoguesswho.github.io/snowflake/worksheets/65.html,,,,2
