ID,Date Added,Responsible,Category,Est Time,Task Name EN,Task Name FR,Description EN,Description FR,YouTube Link,Worksheet,Date assigned,Date Completed,IsDone,Points
22,2026-06-03,Mom,NCSO Study,15,NCSO 05 - Worker rights and responsibilities,,"Study point: Memorize the rights to know, participate, and refuse unsafe work. Add what the worker must do when reporting a hazard or refusing work.",,,,,,,3
23,2026-06-03,Mom,NCSO Study,15,NCSO 06 - Hazard identification methods,,"Study point: Compare formal inspections, FLHA/JHA, worker observations, incident trends, and pre-job planning as ways to find hazards before work starts.",,,,,,,3
24,2026-06-03,Mom,NCSO Study,15,NCSO 07 - Risk assessment ranking,,"Study point: Practice rating a hazard by severity and likelihood. Pick one construction hazard and decide if it is low, medium, high, or critical risk.",,,,,,,3
25,2026-06-03,Mom,NCSO Study,15,NCSO 08 - Hierarchy of controls,,"Study point: Put controls in order: elimination, substitution, engineering, administrative, PPE. Give one example for falls, silica/dust, and moving equipment.",,,,,,,3
26,2026-06-03,Mom,NCSO Study,15,NCSO 09 - Safe work practices and procedures,,Study point: Know the difference between a safe work practice and a safe job procedure. Draft a 4-step procedure for a routine site task.,,,,,,,3
27,2026-06-03,Mom,NCSO Study,15,NCSO 10 - FLHA/JHA walkthrough,,"Study point: Take one job, break it into steps, identify hazards for each step, and choose controls. Focus on controls that are specific and measurable.",,,,,,,3
28,2026-06-03,Mom,NCSO Study,15,NCSO 11 - Site inspections,,"Study point: Review what a good inspection records: location, hazard, risk, corrective action, responsible person, due date, and follow-up evidence.",,,,,,,3
29,2026-06-03,Mom,NCSO Study,15,NCSO 12 - Incident investigation steps,,"Study point: Memorize the investigation flow: secure scene, care for people, report, gather facts, interview, analyze causes, recommend controls, follow up.",,,,,,,3
30,2026-06-03,Mom,NCSO Study,15,NCSO 13 - Root cause vs direct cause,,"Study point: Sort examples into immediate causes, basic/root causes, and system weaknesses. Avoid blaming workers without identifying failed controls.",,,,,,,3
31,2026-06-03,Mom,NCSO Study,15,NCSO 14 - Corrective actions,,"Study point: Turn one incident finding into a SMART corrective action. Include owner, due date, verification method, and how recurrence will be prevented.",,,,,,,3
32,2026-06-03,Mom,NCSO Study,15,NCSO 15 - WHMIS and SDS,,"Study point: Review WHMIS pictograms, labels, and SDS sections. Pick one product and find hazards, PPE, first aid, storage, and spill response.",,,,,,,3
33,2026-06-03,Mom,NCSO Study,15,NCSO 16 - PPE selection and limits,,"Study point: Match PPE to hazards, then state the limitations. Include hard hats, eye/face, hearing, respiratory, gloves, footwear, and fall protection.",,,,,,,3
34,2026-06-03,Mom,NCSO Study,15,NCSO 17 - Occupational hygiene basics,,"Study point: Review exposure routes, monitoring, OEL/TLV concepts, and controls for noise, silica/dust, fumes, heat/cold stress, and ergonomics.",,,,,,,3
35,2026-06-03,Mom,NCSO Study,15,NCSO 18 - Emergency preparedness and first aid,,"Study point: Identify what an emergency plan must cover: contacts, alarms, evacuation, muster, rescue limits, first aid, drills, and communication.",,,,,,,3
36,2026-06-03,Mom,NCSO Study,15,NCSO 19 - Training and orientations,,Study point: Outline what belongs in a site orientation and when refresher training is needed. Include competency checks and training records.,,,,,,,3
37,2026-06-03,Mom,NCSO Study,15,NCSO 20 - Toolbox talks and communication,,"Study point: Prepare a 2-minute toolbox talk on one hazard. Include the hazard, why it matters, controls, worker input, and sign-off documentation.",,,,,,,3
38,2026-06-03,Mom,NCSO Study,15,NCSO 21 - Preventive maintenance,,"Study point: Review how maintenance reduces incidents. Compare pre-use inspections, scheduled maintenance, defects/out-of-service tags, and repair records.",,,,,,,3
39,2026-06-03,Mom,NCSO Study,15,NCSO 22 - Auditing and COR evidence,,"Study point: Review audit evidence types: documents, interviews, and observations. Connect each evidence type to one health and safety program element.",,,,,,,3
40,2026-06-03,Mom,NCSO Study,15,NCSO 23 - Records and safety statistics,,Study point: Review why records matter. Define leading vs lagging indicators and calculate a simple incident rate or inspection completion percentage.,,,,,,,3
41,2026-06-03,Mom,NCSO Study,15,NCSO 24 - Practice questions and recall,,"Study point: Do 10 practice questions or flashcards. For each miss, write the correct answer, why it is correct, and the topic to revisit.",,,,,,,3
42,2026-06-03,Oliver,Brain Activation,5,Movement & Cross-Body - Cross Crawl,,Touch opposite hand to opposite knee while marching in place for 20 reps. Hum while doing it for an extra brain boost.,,,,,,,1
43,2026-06-03,Oliver,Brain Activation,5,Movement & Cross-Body - Brain Buttons,,"Press below the collarbone with one hand while the other hand rests on the belly button. Hold 30 seconds, then switch.",,,,,,,1
44,2026-06-03,Oliver,Brain Activation,5,Movement & Cross-Body - Hook-Ups / Energy Yawn,,"Cross ankles and wrists, clasp hands, pull toward chest, and breathe slowly for 1 minute.",,,,,,,1
45,2026-06-03,Oliver,Brain Activation,5,Movement & Cross-Body - Figure 8 Eyes,,Trace a sideways figure 8 with your thumb while following only with your eyes. Do 5 reps each direction.,,,,,,,1
46,2026-06-03,Oliver,Brain Activation,10,Movement & Cross-Body - Lazy 8 Drawing,,"Draw a large sideways 8, starting in the centre and going left first. Trace with dominant hand, non-dominant hand, then both hands.",,,,,,,2
47,2026-06-03,Oliver,Brain Activation,10,Movement & Cross-Body - Juggling Practice,,"Practice juggling with one ball, then two. Focus on trying, tracking, and coordination rather than perfection.",,,,,,,2
48,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - Box Breathing,,"Breathe in for 4, hold for 4, out for 4, hold for 4. Repeat 4 rounds.",,,,,,,1
49,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - 4-7-8 Breathing,,"Breathe in for 4, hold for 7, and breathe out slowly for 8. Repeat calmly.",,,,,,,1
50,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - Belly Breathing,,Put one hand on chest and one on belly. Take 5 slow breaths so only the belly hand moves.,,,,,,,1
51,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - Flower and Candle,,"Pretend to smell a flower with a slow nose inhale, then blow out a candle with a long mouth exhale. Do 5 rounds.",,,,,,,1
52,2026-06-03,Oliver,Brain Activation,5,Breathing & Calm - Star Breathing,,"Trace up and down each finger while breathing in and out, completing one calm hand-tracing cycle.",,,,,,,1
53,2026-06-03,Oliver,Brain Activation,10,Music & Rhythm - Mood Playlist Challenge,,"Create or choose songs for three playlists: energy, focus, and calm. Pick one to shift the mood today.",,,,,,,2
54,2026-06-03,Oliver,Brain Activation,5,Music & Rhythm - Body Percussion,,"Make a rhythm using claps, snaps, knee pats, and stomps. Copy someone else's pattern, then switch.",,,,,,,1
55,2026-06-03,Oliver,Brain Activation,5,Music & Rhythm - Humming Meditation,,"Sit comfortably, inhale, then hum one steady note on the exhale. Repeat 5 times and notice the vibration.",,,,,,,1
56,2026-06-03,Oliver,Brain Activation,5,Music & Rhythm - Sing What You Feel,,Pick a simple tune and sing a few lines about what you feel right now. Silly or serious both count.,,,,,,,1
57,2026-06-03,Oliver,Brain Activation,5,Music & Rhythm - Rhythm Mirroring Game,,One person taps a rhythm while the other mirrors it exactly. Switch roles and gradually add complexity.,,,,,,,1
58,2026-06-03,Oliver,Brain Activation,10,Creative Expression - Emotion Colour Map,,"Choose colours for feelings, then fill a page with colours and marks that show today's emotions.",,,,,,,2
59,2026-06-03,Oliver,Brain Activation,5,Creative Expression - Morning Pages,,"Write three unedited lines about anything: dreams, worries, funny thoughts, or what is on your mind.",,,,,,,1
60,2026-06-03,Oliver,Brain Activation,10,Creative Expression - Worry Jar Drawings,,"Draw worries on small papers, fold them, and place them in a jar to contain them outside your head.",,,,,,,2
61,2026-06-03,Oliver,Brain Activation,5,Creative Expression - Gratitude Doodle,,Draw three things you are grateful for today. Simple sketches and stick figures are welcome.,,,,,,,1
62,2026-06-03,Oliver,Brain Activation,15,Creative Expression - Collage Your Day,,Cut or tear pictures from old magazines or flyers and make a collage that shows how the day felt.,,,,,,,3
63,2026-06-03,Oliver,Brain Activation,10,Logic & Problem Solving - Quick Challenges,,"Try quick brain teasers, patterns, categories, and word challenges from the workbook.",,,,,,,2
64,2026-06-03,Oliver,Brain Activation,10,Logic & Problem Solving - Design Challenge,,"Using paper, tape, and 10 toothpicks or straws, build the tallest freestanding tower you can in 10 minutes.",,,,,,,2
65,2026-06-03,Oliver,Brain Activation,10,Logic & Problem Solving - LEGO / Block Architecture,,"Build something that represents how you feel today, then describe it to someone.",,,,,,,2
66,2026-06-03,Oliver,Brain Activation,5,Mindfulness & Grounding - 5-4-3-2-1 Method,,"Name 5 things you see, 4 you touch, 3 you hear, 2 you smell, and 1 you taste.",,,,,,,1
67,2026-06-03,Oliver,Brain Activation,10,Mindfulness & Grounding - Body Scan,,"Starting at the feet and moving to the head, notice each body part without trying to change anything.",,,,,,,2
68,2026-06-03,Oliver,Brain Activation,5,Mindfulness & Grounding - Safe Place Visualization,,"Imagine a real or made-up place where you feel safe. Notice colours, sounds, smells, and temperature.",,,,,,,1
69,2026-06-03,Oliver,Brain Activation,10,Connection & Play - Two Truths and a Wish,,Each person shares two true things and one wish. Guess which one is the wish.,,,,,,,2
70,2026-06-03,Oliver,Brain Activation,5,"Connection & Play - Rose, Bud, Thorn",,"Share a rose, a thorn, and a bud: something good, something hard, and something to look forward to.",,,,,,,1
71,2026-06-03,Oliver,Brain Activation,10,Connection & Play - Compliment Circle,,Go around the table and have each person give one genuine compliment to everyone else.,,,,,,,2
72,2026-06-03,Oliver,Brain Activation,10,Connection & Play - Question Jar,,Pull a question from a jar at a meal or quiet moment and let everyone answer.,,,,,,,2
73,2026-06-03,Oliver,Brain Activation,20,Connection & Play - Outdoor Play Challenge,,"Go outside for 20 minutes with no screens. Everyone moves, and everyone laughs at least once.",,,,,,,4
74,2026-06-03,Logan,Brain Activation,5,Movement & Cross-Body - Cross Crawl,,Touch opposite hand to opposite knee while marching in place for 20 reps. Hum while doing it for an extra brain boost.,,,,,,,1
75,2026-06-03,Logan,Brain Activation,5,Movement & Cross-Body - Brain Buttons,,"Press below the collarbone with one hand while the other hand rests on the belly button. Hold 30 seconds, then switch.",,,,,,,1
76,2026-06-03,Logan,Brain Activation,5,Movement & Cross-Body - Hook-Ups / Energy Yawn,,"Cross ankles and wrists, clasp hands, pull toward chest, and breathe slowly for 1 minute.",,,,,,,1
77,2026-06-03,Logan,Brain Activation,5,Movement & Cross-Body - Figure 8 Eyes,,Trace a sideways figure 8 with your thumb while following only with your eyes. Do 5 reps each direction.,,,,,,,1
78,2026-06-03,Logan,Brain Activation,10,Movement & Cross-Body - Lazy 8 Drawing,,"Draw a large sideways 8, starting in the centre and going left first. Trace with dominant hand, non-dominant hand, then both hands.",,,,,,,2
79,2026-06-03,Logan,Brain Activation,10,Movement & Cross-Body - Juggling Practice,,"Practice juggling with one ball, then two. Focus on trying, tracking, and coordination rather than perfection.",,,,,,,2
80,2026-06-03,Logan,Brain Activation,5,Breathing & Calm - Box Breathing,,"Breathe in for 4, hold for 4, out for 4, hold for 4. Repeat 4 rounds.",,,,,,,1
81,2026-06-03,Logan,Brain Activation,5,Breathing & Calm - 4-7-8 Breathing,,"Breathe in for 4, hold for 7, and breathe out slowly for 8. Repeat calmly.",,,,,,,1
82,2026-06-03,Logan,Brain Activation,5,Breathing & Calm - Belly Breathing,,Put one hand on chest and one on belly. Take 5 slow breaths so only the belly hand moves.,,,,,,,1
83,2026-06-03,Logan,Brain Activation,5,Breathing & Calm - Flower and Candle,,"Pretend to smell a flower with a slow nose inhale, then blow out a candle with a long mouth exhale. Do 5 rounds.",,,,,,,1
84,2026-06-03,Logan,Brain Activation,5,Breathing & Calm - Star Breathing,,"Trace up and down each finger while breathing in and out, completing one calm hand-tracing cycle.",,,,,,,1
85,2026-06-03,Logan,Brain Activation,10,Music & Rhythm - Mood Playlist Challenge,,"Create or choose songs for three playlists: energy, focus, and calm. Pick one to shift the mood today.",,,,,,,2
86,2026-06-03,Logan,Brain Activation,5,Music & Rhythm - Body Percussion,,"Make a rhythm using claps, snaps, knee pats, and stomps. Copy someone else's pattern, then switch.",,,,,,,1
87,2026-06-03,Logan,Brain Activation,5,Music & Rhythm - Humming Meditation,,"Sit comfortably, inhale, then hum one steady note on the exhale. Repeat 5 times and notice the vibration.",,,,,,,1
88,2026-06-03,Logan,Brain Activation,5,Music & Rhythm - Sing What You Feel,,Pick a simple tune and sing a few lines about what you feel right now. Silly or serious both count.,,,,,,,1
89,2026-06-03,Logan,Brain Activation,5,Music & Rhythm - Rhythm Mirroring Game,,One person taps a rhythm while the other mirrors it exactly. Switch roles and gradually add complexity.,,,,,,,1
90,2026-06-03,Logan,Brain Activation,10,Creative Expression - Emotion Colour Map,,"Choose colours for feelings, then fill a page with colours and marks that show today's emotions.",,,,,,,2
91,2026-06-03,Logan,Brain Activation,5,Creative Expression - Morning Pages,,"Write three unedited lines about anything: dreams, worries, funny thoughts, or what is on your mind.",,,,,,,1
92,2026-06-03,Logan,Brain Activation,10,Creative Expression - Worry Jar Drawings,,"Draw worries on small papers, fold them, and place them in a jar to contain them outside your head.",,,,,,,2
93,2026-06-03,Logan,Brain Activation,5,Creative Expression - Gratitude Doodle,,Draw three things you are grateful for today. Simple sketches and stick figures are welcome.,,,,,,,1
94,2026-06-03,Logan,Brain Activation,15,Creative Expression - Collage Your Day,,Cut or tear pictures from old magazines or flyers and make a collage that shows how the day felt.,,,,,,,3
95,2026-06-03,Logan,Brain Activation,10,Logic & Problem Solving - Quick Challenges,,"Try quick brain teasers, patterns, categories, and word challenges from the workbook.",,,,,,,2
96,2026-06-03,Logan,Brain Activation,10,Logic & Problem Solving - Design Challenge,,"Using paper, tape, and 10 toothpicks or straws, build the tallest freestanding tower you can in 10 minutes.",,,,,,,2
97,2026-06-03,Logan,Brain Activation,10,Logic & Problem Solving - LEGO / Block Architecture,,"Build something that represents how you feel today, then describe it to someone.",,,,,,,2
98,2026-06-03,Logan,Brain Activation,5,Mindfulness & Grounding - 5-4-3-2-1 Method,,"Name 5 things you see, 4 you touch, 3 you hear, 2 you smell, and 1 you taste.",,,,,,,1
99,2026-06-03,Logan,Brain Activation,10,Mindfulness & Grounding - Body Scan,,"Starting at the feet and moving to the head, notice each body part without trying to change anything.",,,,,,,2
100,2026-06-03,Logan,Brain Activation,5,Mindfulness & Grounding - Safe Place Visualization,,"Imagine a real or made-up place where you feel safe. Notice colours, sounds, smells, and temperature.",,,,,,,1
101,2026-06-03,Logan,Brain Activation,10,Connection & Play - Two Truths and a Wish,,Each person shares two true things and one wish. Guess which one is the wish.,,,,,,,2
102,2026-06-03,Logan,Brain Activation,5,"Connection & Play - Rose, Bud, Thorn",,"Share a rose, a thorn, and a bud: something good, something hard, and something to look forward to.",,,,,,,1
103,2026-06-03,Logan,Brain Activation,10,Connection & Play - Compliment Circle,,Go around the table and have each person give one genuine compliment to everyone else.,,,,,,,2
104,2026-06-03,Logan,Brain Activation,10,Connection & Play - Question Jar,,Pull a question from a jar at a meal or quiet moment and let everyone answer.,,,,,,,2
105,2026-06-03,Logan,Brain Activation,20,Connection & Play - Outdoor Play Challenge,,"Go outside for 20 minutes with no screens. Everyone moves, and everyone laughs at least once.",,,,,,,4
106,2026-06-03,Oliver,Recovery,15,Alateen 01 - What this is for,,"Adult-guided. Read or explain: Alateen is for young people affected by someone else's drinking. Draw one hope for what Oliver wants to feel more of: calm, safety, honesty, or fun.",,,,2026-06-04,,FALSE,3
107,2026-06-03,Logan,Recovery,15,Alateen 01 - What this is for,,"Adult-guided. Read or explain: Alateen is for young people affected by someone else's drinking. Draw one hope for what Logan wants to feel more of: calm, safety, honesty, or fun.",,,,2026-06-04,,FALSE,3
108,2026-06-03,Oliver,Recovery,15,Alateen 02 - Feelings weather,,"Draw today's feelings as weather: sunny, cloudy, stormy, windy, mixed. Add one sentence: Feelings are messages, not trouble. Share only what feels okay.",,,,,,FALSE,3
109,2026-06-03,Logan,Recovery,15,Alateen 02 - Feelings weather,,"Draw today's feelings as weather: sunny, cloudy, stormy, windy, mixed. Add one sentence: Feelings are messages, not trouble. Share only what feels okay.",,,,,,FALSE,3
110,2026-06-03,Oliver,Recovery,15,Alateen 03 - The 3 Cs,,"Make a 3 Cs card: I did not cause it. I cannot control it. I cannot cure it. Add: I can choose one safe, kind thing for myself today.",,,,,,FALSE,3
111,2026-06-03,Logan,Recovery,15,Alateen 03 - The 3 Cs,,"Make a 3 Cs card: I did not cause it. I cannot control it. I cannot cure it. Add: I can choose one safe, kind thing for myself today.",,,,,,FALSE,3
112,2026-06-03,Oliver,Recovery,15,Alateen 04 - My safe people map,,Draw five safe people or places Oliver can go to when worried. Include at least one adult outside the home. Practice one sentence: I need help with a grown-up problem.,,,,,,FALSE,3
113,2026-06-03,Logan,Recovery,15,Alateen 04 - My safe people map,,Draw five safe people or places Logan can go to when worried. Include at least one adult outside the home. Practice one sentence: I need help with a grown-up problem.,,,,,,FALSE,3
114,2026-06-03,Oliver,Recovery,15,Alateen 05 - Calm body reset,,"Practice 4-4 breathing for two minutes, then name 5 things seen, 4 felt, 3 heard, 2 smelled, 1 tasted. Circle which part helped most.",,,,,,FALSE,3
115,2026-06-03,Logan,Recovery,15,Alateen 05 - Calm body reset,,"Practice 4-4 breathing for two minutes, then name 5 things seen, 4 felt, 3 heard, 2 smelled, 1 tasted. Circle which part helped most.",,,,,,FALSE,3
116,2026-06-03,Oliver,Recovery,15,Alateen 06 - One day at a time,,Fold paper into Today and Not Today. Put one thing Oliver can do today on the Today side. Put grown-up worries on Not Today and hand them to a trusted adult.,,,,,,FALSE,3
117,2026-06-03,Logan,Recovery,15,Alateen 06 - One day at a time,,Fold paper into Today and Not Today. Put one thing Logan can do today on the Today side. Put grown-up worries on Not Today and hand them to a trusted adult.,,,,,,FALSE,3
118,2026-06-03,Oliver,Recovery,15,Alateen 07 - HALT check,,"Check HALT: hungry, angry, lonely, tired. Pick one small fix: snack, movement, talk to safe person, rest. Notice how the feeling changes after five minutes.",,,,,,FALSE,3
119,2026-06-03,Logan,Recovery,15,Alateen 07 - HALT check,,"Check HALT: hungry, angry, lonely, tired. Pick one small fix: snack, movement, talk to safe person, rest. Notice how the feeling changes after five minutes.",,,,,,FALSE,3
120,2026-06-03,Oliver,Recovery,15,Alateen 08 - Boundaries bubble,,"Draw a bubble around Oliver. Inside: things I can choose. Outside: other people's moods, drinking, choices, and arguments. Pick one boundary sentence to practice.",,,,,,FALSE,3
121,2026-06-03,Logan,Recovery,15,Alateen 08 - Boundaries bubble,,"Draw a bubble around Logan. Inside: things I can choose. Outside: other people's moods, drinking, choices, and arguments. Pick one boundary sentence to practice.",,,,,,FALSE,3
122,2026-06-03,Oliver,Recovery,15,Alateen 09 - Detach with love,,Use two sticky notes: Care About and In Charge Of. Sort examples. Learn: Oliver can care about someone and still not be in charge of fixing them.,,,,,,FALSE,3
123,2026-06-03,Logan,Recovery,15,Alateen 09 - Detach with love,,Use two sticky notes: Care About and In Charge Of. Sort examples. Learn: Logan can care about someone and still not be in charge of fixing them.,,,,,,FALSE,3
124,2026-06-03,Oliver,Recovery,15,Alateen 10 - Secrets and safety,,"Sort cards into Surprise, Privacy, and Unsafe Secret. Practice: If a secret makes Oliver scared, sick, or unsafe, tell a trusted adult until someone helps.",,,,,,FALSE,3
125,2026-06-03,Logan,Recovery,15,Alateen 10 - Secrets and safety,,"Sort cards into Surprise, Privacy, and Unsafe Secret. Practice: If a secret makes Logan scared, sick, or unsafe, tell a trusted adult until someone helps.",,,,,,FALSE,3
126,2026-06-03,Oliver,Recovery,15,Alateen 11 - Ask for help script,,Practice three scripts with a safe adult: I feel __. I need __. Can you help me __? Keep it short and honest; passing is allowed if Oliver is not ready.,,,,,,FALSE,3
127,2026-06-03,Logan,Recovery,15,Alateen 11 - Ask for help script,,Practice three scripts with a safe adult: I feel __. I need __. Can you help me __? Keep it short and honest; passing is allowed if Logan is not ready.,,,,,,FALSE,3
128,2026-06-03,Oliver,Recovery,15,"Alateen 12 - Listen, share, pass",,"Do a mini meeting: one minute quiet, each person shares one feeling, one thing that helped, or says pass. Practice listening without fixing or interrupting.",,,,,,FALSE,3
129,2026-06-03,Logan,Recovery,15,"Alateen 12 - Listen, share, pass",,"Do a mini meeting: one minute quiet, each person shares one feeling, one thing that helped, or says pass. Practice listening without fixing or interrupting.",,,,,,FALSE,3
130,2026-06-03,Oliver,Recovery,15,Alateen 13 - Gratitude and good things,,"Write or draw three good things from today, even tiny ones. Add one person Oliver can thank or one kind thing Oliver can do without trying to fix anyone.",,,,,,FALSE,3
131,2026-06-03,Logan,Recovery,15,Alateen 13 - Gratitude and good things,,"Write or draw three good things from today, even tiny ones. Add one person Logan can thank or one kind thing Logan can do without trying to fix anyone.",,,,,,FALSE,3
132,2026-06-03,Oliver,Recovery,15,Alateen 14 - Courage words,,"Pick one slogan for the week: One Day at a Time, Keep It Simple, or First Things First. Decorate it and choose one place Oliver will see it daily.",,,,,,FALSE,3
133,2026-06-03,Logan,Recovery,15,Alateen 14 - Courage words,,"Pick one slogan for the week: One Day at a Time, Keep It Simple, or First Things First. Decorate it and choose one place Logan will see it daily.",,,,,,FALSE,3
134,2026-06-03,Oliver,Recovery,15,Alateen 15 - My toolbox,,"Make a personal toolbox list: 3 Cs, safe people, calm reset, HALT, ask-for-help script, and one fun activity. Put it somewhere Oliver can find it.",,,,,,FALSE,3
135,2026-06-03,Logan,Recovery,15,Alateen 15 - My toolbox,,"Make a personal toolbox list: 3 Cs, safe people, calm reset, HALT, ask-for-help script, and one fun activity. Put it somewhere Logan can find it.",,,,,,FALSE,3
136,2026-06-03,Oliver,Recovery,15,Alateen Resource 01 - Teen Corner,,Adult-guided reading. Open the official Al-Anon Teen Corner page: https://al-anon.org/newcomers/teen-corner-alateen/ Oliver chooses one helpful idea and draws or writes one sentence about it.,,,,,2026-06-04,FALSE,3
136,2026-06-03,Oliver,FLA,5,French 60-Second Talk,Parle pendant 60 secondes,"Describe something you learned this year. Use 3 connectors: first, next, finally.","Decris quelque chose que tu as appris cette annee. Utilise 3 connecteurs: premierement, ensuite, finalement.",,,,,FALSE,1
137,2026-06-03,Oliver,FLA,10,French Mini Summary,Mini resume en francais,"Read one page of a French book. Say who, where, what happens, and the important idea.","Lis une page d'un livre en francais. Dis qui, ou, ce qui se passe, et l'idee importante.",,,,,FALSE,2
138,2026-06-03,Oliver,FLA,5,Sentence Upgrade,Ameliore la phrase,"Start with a tiny French sentence and add where, how, and why details.","Commence avec une petite phrase en francais et ajoute des details: ou, comment, et pourquoi.",,,,,FALSE,1
139,2026-06-03,Oliver,FLA,5,Fiction or Non-Fiction?,Fiction ou non-fiction?,"Pick any text and identify its purpose, features, and clues.","Choisis un texte et trouve son but, ses caracteristiques, et les indices.",,,,,FALSE,1
140,2026-06-03,Oliver,FLA,5,Mystery Word,Mot mystere,Choose a French word from a book. Guess the meaning from context and use it in a new sentence.,Choisis un mot francais dans un livre. Devine le sens avec le contexte et utilise-le dans une nouvelle phrase.,,,,,FALSE,1
141,2026-06-03,Oliver,ELA,5,Read Like an Actor,Lis comme un acteur,"Read a paragraph twice: first normally, then with expression, pauses, and emphasis.","Lis un paragraphe deux fois: normalement, puis avec expression, pauses, et emphase.",,,,,FALSE,1
142,2026-06-03,Oliver,ELA,5,Two-Sentence Review,Critique en deux phrases,"After reading, write one sentence about what happened and one opinion sentence using because.","Apres la lecture, ecris une phrase sur ce qui s'est passe et une opinion avec because.",,,,,FALSE,1
143,2026-06-03,Oliver,ELA,5,Dialogue Fix-It,Repare le dialogue,Fix punctuation in a dialogue sentence and make it clearer.,Corrige la ponctuation d'une phrase de dialogue et rends-la plus claire.,,,,,FALSE,1
144,2026-06-03,Oliver,ELA,5,Spicy Sentence,Phrase plus detaillee,"Take a plain sentence and add 2 adjectives, 1 strong verb, and 1 detail.","Prends une phrase simple et ajoute 2 adjectifs, 1 verbe fort, et 1 detail.",,,,,FALSE,1
145,2026-06-03,Oliver,Math ,5,Fact Sprint,Course de faits mathematiques,"Answer as many multiplication or division facts as possible in 2 minutes, then build arrays for 3 tricky ones.","Reponds a autant de faits de multiplication ou division que possible en 2 minutes, puis fais des tableaux pour 3 difficiles.",,,,,FALSE,1
146,2026-06-03,Oliver,Math ,10,Receipt Math,Math de recus,Use fake prices under $10. Add two amounts and make change from $20.,Utilise de faux prix sous 10 $. Additionne deux montants et rends la monnaie de 20 $.,,,,,FALSE,2
147,2026-06-03,Oliver,Math ,5,Round the Room,Arrondis les nombres,Pick numbers around the room or from a book. Round each to the nearest 10 and 100.,Choisis des nombres autour de toi ou dans un livre. Arrondis chacun a la dizaine et a la centaine pres.,,,,,FALSE,1
